年级,院系名称,院系号,专业名称,修读类型,方案名称,方案计划号,课程总门数,课程总学分,要求总学分,课程总学时,学制类型,学科目录,主要课程
2019,文学与新闻学院,104,汉语国际教育,主修,汉语国际教育培养方案,5474,81,201,154,3396,本科（四年制）,文学,中华文化、古代汉语、现代汉语、文学理论、比较文学、对外汉语教学概论、中国古代文学、中国现代文学、中国当代文学、中国文化概论、外国文化概论、英语听说、英语写作、外国文学、文化原典导读
2019,文学与新闻学院,104,新闻传播学类,主修,新闻传播学类培养方案,5319,36,82,160,1396,本科（四年制）,文学,
2019,文学与新闻学院,104,新闻学,主修,新闻学培养方案,5328,67,162,158,2772,本科（四年制）,文学,新闻学概论、马克思主义新闻观理论与实践、深度报道研讨、新闻编辑、新闻采访、新闻评论、新闻摄影、新闻写作、新媒体概论、新闻出版法律法规、新闻传播技术基础、中国新闻传播史、外国新闻传播史、媒介批评、媒体产业经营、中国当代新闻、国情教育
2019,文学与新闻学院,104,新闻学（双学位）,辅修,新闻学（辅修学位）,8515,16,60,60,967,双学位（二年半制）,,
2019,文学与新闻学院,104,广播电视学,主修,广播电视学培养方案,5475,72,171,160,2916,本科（四年制）,文学,广播电视新闻学、广播电视编辑学、广播电视节目学、整合营销传播、广播电视研究前沿、广播电视史、播音与主持、传媒社会学、电视摄像、电视艺术学概论、媒介批评、媒体产业经营、财经新闻实务、演播室节目制作、新闻出版法律法规、国情教育
2019,文学与新闻学院,104,广告学,主修,广告学培养方案,5476,73,185,165,3140,本科（四年制）,文学,广告美术基础、广告策划、广告摄影、广告市场调查、广告文案、广告营销学、广告与设计史、品牌营销、平面广告设计、数字广告设计、国情教育
2019,文学与新闻学院,104,编辑出版学,主修,编辑出版学培养方案,5477,81,200,164,3396,本科（四年制）,文学,编辑实务与技能、国际出版、西方哲学与文史哲专题出版、读者学、书评学、新闻出版法律法规、现代书刊设计、数字出版与技术、中外编辑出版史、西方经济学与经管类专题出版、数字媒体编程基础、Web软件开发技术、社科中文工具书使用法、传播学概论、国情教育
2019,文学与新闻学院,104,网络与新媒体,主修,网络与新媒体培养方案,5379,76,185,170,3156,本科（四年制）,,新媒体概论、新媒体艺术、新媒体与中国传统文化艺术、用户调研与数据分析、网络社会心理学、传播效果理论基础、网络与新媒体信息采编、新媒体产业经济、数字媒体编程基础、Web软件开发技术、网络与新媒体产品策划、文化产业与新媒体应用、移动媒体软件开发、全媒体整合传播、新闻学概论、传播学概论、国情教育
2019,外国语学院,105,英语,主修,英语培养方案,5494,111,237,150,4006,本科（四年制）,文学,
2019,外国语学院,105,英语（双学位）,辅修,英语（辅修学位）培养方案,8516,29,76,56,1216,双学位（二年半制）,,
2019,外国语学院,105,俄语,主修,俄语培养方案,5495,80,190,150,3380,本科（四年制）,文学,基础俄语、俄语视听、俄语精读、俄译汉、汉译俄、俄苏文学史、俄罗斯国情、俄语写作、现代俄语理论、第二外语
2019,外国语学院,105,法语,主修,法语培养方案,5422,75,174,150,3028,本科（四年制）,文学,外国语文导论、综合法语、法语听力、法语会话、法语写作、法语国家文学、法汉笔译、法汉口译、第二外国语
2019,外国语学院,105,西班牙语,主修,西班牙语培养方案,5496,74,165,150,3156,本科（四年制）,文学,1、通识教育：包括公共基础课（思想政治课、计算机、体育等）和通识模块课程（中华文化等）。2、专业核心课程专业核心课程分为外语技能课程和专业知识课程。外语技能课程包括听、说、读、写、译等方面的课程，主要有初级西班牙语、中级西班牙语、高级西班牙语、西班牙语口语、西班牙语听力、西班牙语阅读、西班牙语报刊选读、西班牙语基础写作、笔译理论与实践、口译理论与实践。专业知识课程包括语言、文学与文化的基础课程，以及论文写作与基本研究方法课程，主要有西班牙语语法、西班牙国家概况、拉丁美洲国家概况、西班牙文学、拉美文学、西班牙语学术写作等。3、实践与创新教育阶段：包括毕业论文、国际周、校外专家授课、专业实习、课外实践活动、社会实践活动、国际交流等。
2019,外国语学院,105,日语,主修,日语培养方案,5423,74,172,150,2996,本科（四年制）,文学,基础日语、日语视听、日语会话、日语写作、日本文化、日本文学史、日汉对译、商务日语、第二外语
2019,外国语学院,105,日语（双学位）,辅修,日语（辅修学位）培养方案,8517,4,14,60,224,双学位（二年半制）,,
2019,外国语学院,105,波兰语（经济方向）,主修,波兰语（经济方向）培养方案,5576,58,161,150,2852,本科（四年制）,文学,1、通识教育课程：思想道德修养与法律基础、中国近现代史纲要、马克思主义基本原理、毛泽东思想和中国特色社会主义理论体系概论、军事理论、体育、形式与政策，中华文化、大学生心理健康，计算机引论、新生研讨课2、专业核心课程：综合波语（1-6）、外国语文导论、波语视听说（1-4）、波语阅读（不同级别）、波兰文学史、波语写作1-3、波汉口译、波汉笔译、波兰文学（不同时期）等、中华文化等3、培养方向课程：1）学术研究型专业知识课程：波兰国家概况、国际关系概论、经济学导论、国际关系史、政治社会学概论、法律导论、西方经济学（微观、宏观）、国际经济学、微积分、线性代数2）实践应用型专业知识课程：经典外交案例分析3）创新探索型专业知识课程：地缘政治与经济、“一带一路”沿线国家政治与社会、宗教与国际关系、欧盟政治与外交4、实践与创新教育阶段：毕业论文、专业实习、课外实践活动、社会实践活动、国际交流、国际周校外专家授课等
2019,外国语学院,105,波兰语（国际关系方向）,主修,波兰语（国际关系方向）培养方案,5577,65,172,150,2964,本科（四年制）,文学,1、通识教育课程：思想道德修养与法律基础、中国近现代史纲要、马克思主义基本原理、毛泽东思想和中国特色社会主义理论体系概论、军事理论、体育、形式与政策，中华文化、大学生心理健康，计算机引论、新生研讨课2、专业核心课程：综合波语（1-6）、外国语文导论、波语视听说（1-4）、波语阅读（不同级别）、波兰文学史、波语写作1-3、波汉口译、波汉笔译、波兰文学（不同时期）等、中华文化等3、培养方向课程：1）学术研究型专业知识课程：波兰国家概况、国际关系概论、经济学导论、国际关系史、政治社会学概论、法律导论、西方经济学（微观、宏观）、国际经济学、微积分、线性代数2）实践应用型专业知识课程：经典外交案例分析3）创新探索型专业知识课程：地缘政治与经济、“一带一路”沿线国家政治与社会、宗教与国际关系、欧盟政治与外交4、实践与创新教育阶段：毕业论文、专业实习、课外实践活动、社会实践活动、国际交流、国际周校外专家授课等
2019,历史文化学院（旅游学院、考古文博学院）,106,历史学类,主修,历史学类培养方案,5424,32,70,160,1208,本科（四年制）,历史学,
2019,历史文化学院（旅游学院、考古文博学院）,106,历史学（基地班）,主修,历史学（基地班）培养方案,5400,146,310,160,5150,本科（四年制）,历史学,中国通史、世界通史、史学概论、中国历史要籍介绍及选读、外国历史要籍介绍及选读、中国史学史、西方史学史
2019,历史文化学院（旅游学院、考古文博学院）,106,历史学,主修,历史学培养方案,5498,145,308,160,5118,本科（四年制）,,中国通史、世界通史、史学概论、中国历史要籍介绍及选读、外国历史要籍介绍及选读、中国史学史、西方史学史
2019,历史文化学院（旅游学院、考古文博学院）,106,历史学（双学位）,辅修,历史学（辅修学位）培养方案,8518,17,61,60,976,双学位（二年半制）,,
2019,历史文化学院（旅游学院、考古文博学院）,106,历史学（试验班）,主修,历史学（试验班）培养方案,5646,152,325,165,5390,本科（四年制）,历史学,
2019,历史文化学院（旅游学院、考古文博学院）,106,历史学（拔尖计划）,主修,历史学（拔尖计划）培养方案,8324,153,327,165,5422,本科（四年制）,历史学,
2019,历史文化学院（旅游学院、考古文博学院）,106,考古学,主修,考古学培养方案,5499,73,168,160,2868,本科（四年制）,历史学,考古学导论、考古学与文明史、中国考古学1、中国考古学2、中国考古学3、中国考古学4、考古技术、田野考古概论、考古目录学、考古学史、文物保护概论、文化遗产概论、博物馆学概论
2019,历史文化学院（旅游学院、考古文博学院）,106,考古学（双学位）,辅修,考古学（辅修学位）培养方案,8519,0,0,62,0,双学位（二年半制）,,
2019,历史文化学院（旅游学院、考古文博学院）,106,文物与博物馆学,主修,文物与博物馆学培养方案,5500,79,185,160,3140,本科（四年制）,历史学,考古学导论、考古学与文明史、文物保护概论、文化遗产概论、中国考古学、博物馆学概论、博物馆藏品保护管理、博物馆展陈、博物馆营销、中国古代美术史
2019,历史文化学院（旅游学院、考古文博学院）,106,旅游管理,主修,旅游管理培养方案,5501,96,202,160,3476,本科（四年制）,管理学,饭店管理、商务统计学、项目管理（全英文）、消费者行为学、会计学、产业经济学、财务管理、旅游市场营销、旅游规划与资源开发、旅游与休闲研究方法、旅游心理学、导游学、旅游文化学（全英文）、旅行社经营管理、旅游与酒店商务沟通（全英文）
2019,历史文化学院（旅游学院、考古文博学院）,106,会展经济与管理,主修,会展经济与管理培养方案,5502,88,181,160,3140,本科（四年制）,管理学,管理学原理、微观经济学、宏观经济学、产业经济学、市场营销学、消费者行为学、商务统计学、项目管理、会展概论、会议需求与策划、展览策划与组织、节庆活动策划与管理、企业参展原理
2019,历史文化学院（旅游学院、考古文博学院）,106,旅游管理类,主修,旅游管理类培养方案,5425,33,68,160,1236,本科（四年制）,管理学,
2019,马克思主义学院,107,马克思主义理论,主修,马克思主义理论培养方案,5536,71,165,152,2820,本科（四年制）,,
2019,国际关系学院,108,国际政治,主修,国际政治培养方案,5333,88,189,160,3204,本科（四年制）,法学,政治学原理、国际政治概论、国际关系概论、国际关系史、西方政治思想史、中国政府与政治、外交学、国际政治研究方法、西方国际关系理论、比较政治学、国际法（公法）、国际政治经济学、美国政治与外交、“一带一路”与全球治理专题研究
2019,数学学院,201,数学类,主修,数学类培养方案,5366,41,104,155,1924,本科（四年制）,理学,数学分析（I、II、III）、高等代数（I、II）、解析几何、近世代数基础、常微分方程、概率论、实变函数、复变函数、理论力学、泛函分析、抽象代数、偏微分方程、微分几何、数学建模与实验、初等数论、一般拓扑学、数理统计、科学计算、代数拓扑初步、微分流形、理论力学、代数几何基础
2019,数学学院,201,数学与应用数学（基础方向）,主修,数学与应用数学（基础方向）培养方案,5401,87,222.5,155,3900,本科（四年制）,理学,"（1）	必修课程（共11门课程）：数学分析（I、II、III）、高等代数（I、II）、解析几何、数论与代数基础、常微分方程、概率论、实变函数、复变函数、数学建模与实验，一般拓扑学、泛函分析（2）	限选课程（以下课程8门课程中选6门）：偏微分方程、抽象代数、数理统计、科学计算、代数拓扑、无穷维分析、微分方程定性理论、微分几何与拓扑（3）	限选大学物理（理工）III-1，2."
2019,数学学院,201,数学与应用数学（试验班）,主修,数学与应用数学（试验班）培养方案,4626,95,250.5,155,4380,本科（四年制）,理学,"（1）	必修课程：（共12门课程）数学分析（I、II、III）、高等代数（I、II）、解析几何、数论与代数基础、常微分方程、一般拓扑学、实变函数、复变函数、概率论、抽象代数、泛函分析、数学建模与实验（2）	限选课程：（以下9门课程中选6门）偏微分方程、科学计算、代数拓扑、凸分析优化、群表示论、无穷维分析、微分方程定性理论、微分几何与拓扑、数理统计（3）	限选大学物理（理工）III-1"
2019,数学学院,201,数学与应用数学（金融方向）,主修,数学与应用数学（金融方向）培养方案,5378,75,188.5,155,3404,本科（四年制）,理学,"必修课程（共13门课程）：数学分析（I、II、III）、高等代数（I、II）、解析几何、数论与代数基础、常微分方程、概率论、实变函数、复变函数、数学建模与实验、一般拓扑学、数理统计、金融数学引论、投资分析与风险管理(2)限选（以下6门课程中选4门）：、泛函分析、偏微分方程、科学计算、随机过程、期权期货与衍生证券、精算学(3)限选大学物理（理工）III-1、2."
2019,数学学院,201,数学与应用数学（拔尖计划）,主修,数学与应用数学（拔尖计划）培养方案,8327,99,260.5,155,4540,本科（四年制）,理学,
2019,数学学院,201,信息与计算科学,主修,信息与计算科学培养方案,5387,78,198.5,155,3548,本科（四年制）,理学,"（1）	必修课程（共13门课程）：数学分析（I、II、III）、高等代数（I、II）、解析几何、数论与代数基础、常微分方程、概率论、实变函数、复变函数、数学建模与实验、一般拓扑学、泛函分析、数值分析、微分方程数值解（I）（2）	限选（以下6门课程选4门）：偏微分方程、数理统计、数值最优化、微分方程数值解（II）、数值实验、数字信号处理（3）	限选大学物理（理工）III-1、2"
2019,数学学院,201,数学（基地班）,主修,数学（基地班）培养方案,5367,88,223.5,155,3916,本科（四年制）,理学,"（1）	必修课程（共11门课程）：数学分析（I、II、III）、高等代数（I、II）、解析几何、数论与代数基础、常微分方程、概率论、实变函数、复变函数、一般拓扑学、泛函分析、数学建模与实验（2）	限选课程（以下课程8门课程中选6门）：偏微分方程、抽象代数、数理统计、科学计算、代数拓扑、无穷维分析、微分方程定性理论、微分几何与拓扑（3）	限选大学物理（理工）III-1，2."
2019,数学学院,201,统计学（数据科学与大数据技术方向）,主修,统计学（数据科学与大数据方向）培养方案,5341,79,197.5,155,3516,本科（四年制）,理学,"（1）	必修课程（共13门课程）：数学分析（I、II、III）、高等代数（I、II）、解析几何、数论与代数基础、常微分方程、概率论、实变函数、复变函数、数学建模与实验、一般拓扑学、数理统计、数据科学导论、多元统计分析(含统计软件)（2）	限选（以下7门课程中选4门）：数据挖掘、机器学习、数值最优化、时间序列分析、统计计算、统计建模、数值分析（3）	限选大学物理（理工）III-1、2"
2019,数学学院,201,统计学,主修,统计学培养方案,5322,77,196.5,155,3500,本科（四年制）,理学,"（1）	必修课程（共16门课程）：数学分析（I、II、III）、高等代数（I、II）、解析几何、数论与代数基础、常微分方程、概率论、实变函数、复变函数、数学建模与实验、一般拓扑学、数理统计、回归分析、多元统计分析（含统计软件）、随机过程、时间序列分析，统计计算（2）	限选（以下4门课程中选1门）：泛函分析、统计建模、生存分析、试验设计（3）	限选大学物理（理工）III-1、2"
2019,物理学院,202,物理学（基地班）,主修,物理学（基地班）培养方案,4625,80,199,155,3692,本科（四年制）,理学,线性代数、微积分、概率统计、数学物理方法、力学、热学、电磁学、光学、原子物理学、理论力学、电动力学、热力学和统计物理学、量子力学、固体物理学、大学物理实验、近代物理实验、物理学专业实验等。
2019,物理学院,202,物理学,主修,物理学培养方案,5354,81,195,155,3644,本科（四年制）,理学,线性代数、微积分、概率统计、数学物理方法、力学、热学、电磁学、光学、原子物理学、理论力学、电动力学、热力学和统计物理学、量子力学、固体物理学、大学物理实验、近代物理实验、物理学专业实验等。
2019,物理学院,202,物理学（试验班）,主修,物理学（试验班）培养方案,4632,83,207,160,3868,本科（四年制）,理学,线性代数、微积分、概率统计、数学物理方法、力学、热学、电磁学、光学、原子物理学、理论力学、电动力学、热力学和统计物理学、量子力学、固体物理学、大学物理实验、近代物理实验、物理学专业实验、创新能力实践等。
2019,物理学院,202,物理学类,主修,物理学类培养方案,5345,53,122,155,2260,本科（四年制）,理学,线性代数、微积分、概率统计、数学物理方法、力学、热学、电磁学、光学、原子物理学、理论力学、电动力学、热力学与统计物理学、量子力学、固体物理学、大学物理实验、近代物理实验、物理学专业实验等。
2019,物理学院,202,物理学（拔尖计划）,主修,物理学（拔尖计划）培养方案,8328,83,203,160,3804,本科（四年制）,理学,
2019,物理学院,202,核工程与核技术,主修,核工程与核技术培养方案,4623,96,243,172,4352,本科（四年制）,工学,原子核物理基础、辐射探测与测量、辐射剂量与防护、核电子学、工程流体力学、传热学、核反应堆物理、核电站工程导论、加速器原理及应用、核分析技术、核化学与放射化学、核与辐射认知实验、辐射探测实验、辐射剂量与防护实验。
2019,物理学院,202,微电子科学与工程,主修,微电子科学与工程培养方案,4624,79,204,170,3704,本科（四年制）,工学,数理基础、电路理论/技术基础、半导体物理学、微电子器件原理、半导体材料及IC工艺原理、集成电路原理、IC设计基础、模拟/数字集成电路设计等。此外，还开设模拟芯片项目工程、微电子工艺与器件模拟、微电子器件测试与分析、微电子技术前沿和集成电路设计前沿等选修课，以及各种设计和研究训练课题。
2019,化学学院,203,化学（基地班）,主修,化学（基地班）培养方案,5350,99,214,163,4012,本科（四年制）,理学,无机化学、分析化学（含仪器分析）、有机化学、物理化学（含结构化学）、高分子科学导论、绿色化学、合成化学及化学信息学。
2019,化学学院,203,化学,主修,化学培养方案,5352,102,223,160,4140,本科（四年制）,理学,无机化学、分析化学（含仪器分析）、有机化学、物理化学（含结构化学）、高分子科学导论、绿色化学、合成化学及化学信息学。
2019,化学学院,203,化学类,主修,化学类培养方案,5337,53,112,160,2140,本科（四年制）,理学,无机化学、分析化学、有机化学、物理化学(含结构化学)、高分子科学导论、绿色化学、生物化学及化工基础。
2019,化学学院,203,化学（试验班）,主修,化学（试验班）培养方案,5353,96,212,160,3988,本科（四年制）,理学,无机化学、分析化学（含仪器分析）、有机化学、物理化学（含结构化学）、高分子科学导论、绿色化学、合成化学及化学信息学。
2019,化学学院,203,化学（拔尖计划）,主修,化学（拔尖计划）培养方案,8329,100,217,160,4068,本科（四年制）,理学,
2019,化学学院,203,应用化学,主修,应用化学培养方案,5344,104,226,160,4190,本科（四年制）,理学,无机化学、分析化学（含仪器分析）、有机化学、物理化学（含结构化学）、高分子科学导论、绿色化学、放射化学及化学能源与材料。
2019,生命科学学院,204,生物科学类,主修,生物科学类培养方案,5346,34,72,76,1344,本科（四年制）,理学,普通生物学、生物化学、细胞生物学、遗传学、微生物学，分子生物学、发育生物学，结构生物学、进化生物学、干细胞生物学等。
2019,生命科学学院,204,生物科学（双学位）,辅修,生物科学（辅修学位）培养方案,8520,16,47,50,936,双学位（二年半制）,,
2019,生命科学学院,204,生物科学,主修,生物科学培养方案,5323,97,227,165,4224,本科（四年制）,理学,植物生物学、动物生物学、生物化学、微生物学、分子生物学、细胞生物学、遗传学、基础生态学、生物科学综合实验
2019,生命科学学院,204,生物科学（试验班）,主修,生物科学（试验班）培养方案,5427,78,182,167,3416,本科（四年制）,理学,普通生物学、生物化学、微生物学、分子生物学、细胞生物学、遗传学、基层生态学、生物科学综合实验
2019,生命科学学院,204,生物科学（基地班）,主修,生物科学（基地班）培养方案,5368,98,229,165,4256,本科（四年制）,理学,植物生物学、动物生物学、生物化学、微生物学、分子生物学、细胞生物学、遗传学、基础生态学、生物科学综合实验
2019,生命科学学院,204,计算生物交叉试验班,主修,计算生物学培养方案,5347,89,224,192,4000,本科（四年制）,,离散数学、统计模型和模拟、操作系统和系统编程、计算机网络和分布式系统、数据结构与算法、数据库系统和信息管理、软件设计与体系结构、遗传学、生物化学、细胞生物学、生物信息学原理和操作
2019,生命科学学院,204,生物科学（拔尖计划）,主修,生物科学（拔尖计划）培养方案,8330,79,184,165,3432,本科（四年制）,理学,
2019,生命科学学院,204,生态学,主修,生态学培养方案,5355,87,195,165,3768,本科（四年制）,理学,生态学、动物种群生态学、植被生态学、全球变化生态学、动物系统分类、植物系统分类、进化生物学、地理信息系统、生物统计学、分子生态学、保护生物学
2019,电子信息学院,205,电子信息工程,主修,电子信息工程培养方案,5467,99,224,169,4284,本科（四年制）,工学,数字电路设计及应用、信号与系统、模拟电子技术、电路理论、电磁场与电磁波、微机原理与接口技术、微波技术基础、嵌入式系统课程设计、随机信号分析与仿真、射频通信电路、天线与电波传播、数字信号处理
2019,电子信息学院,205,电子信息工程（卓越工程师班）,主修,电子信息工程卓越班培养方案,5440,104,241,169,4620,本科（四年制）,,数字电路设计及应用、信号与系统、模拟电子技术、电路理论、电磁场与电磁波、微机原理与接口技术、现代通信技术、嵌入式系统课程设计、随机信号分析与仿真、微波技术基础、射频通信电路、天线与电波传播、数字信号处理。
2019,电子信息学院,205,通信工程,主修,通信工程培养方案,5521,96,217,169,4156,本科（四年制）,,计算机程序设计基础、电路理论、电磁场与电磁波、模拟电子技术、数字电路设计及应用、微机原理与接口技术、信号与系统、嵌入式系统课程设计、通信电子线路、数字信号处理、现代通信技术、光通信技术、移动通信技术、随机信号分析与仿真等。
2019,电子信息学院,205,通信工程（卓越工程师班）,主修,通信工程（卓越工程师班）培养方案,5554,106,246,169,4700,本科（四年制）,工学,计算机程序设计基础、电路理论、电磁场与电磁波、模拟电子技术、数字电路设计及应用、微机原理与接口技术、信号与系统、嵌入式系统课程设计、通信电子线路、数字信号处理、现代通信技术、光通信技术、移动通信技术等。
2019,电子信息学院,205,光电信息科学与工程,主修,光电信息科学与工程培养方案,5470,97,214,169,4118,本科（四年制）,工学,模拟电子技术、数字电路设计及应用、信号与系统、电路理论、微机原理与接口技术、电动力学、物理光学、应用光学、光电器件及检测技术、激光原理及技术、光信息处理、薄膜光学与技术、光电精密仪器课程设计等。
2019,电子信息学院,205,电子信息类,主修,电子信息类培养方案,5324,32,65,170,1296,本科（四年制）,工学,
2019,高分子科学与工程学院,300,高分子材料与工程,主修,高分子材料与工程培养方案,5503,127,278,175,5076,本科（四年制）,,近代化学基础、高分子化学、高分子物理、材料科学与工程基础、化工原理、聚合物合成原理及工艺学、高分子材料成型加工基础、高分子材料及应用、聚合物共混改性原理、聚合物过程与设备、高分子材料成型模具
